t= 0, x= 0.1, v= 25
t= 0.1, x= 2.55095, v= 24.019
t= 0.2, x= 4.9038, v= 23.038
t= 0.3, x= 7.15855, v= 22.057
t= 0.4, x= 9.3152, v= 21.076
t= 0.5, x= 11.3737, v= 20.095
t= 0.6, x= 13.3342, v= 19.114
t= 0.7, x= 15.1965, v= 18.133
t= 0.8, x= 16.9608, v= 17.152
t= 0.9, x= 18.6269, v= 16.171
t= 1, x= 20.195, v= 15.19
t= 1.1, x= 21.6649, v= 14.209
t= 1.2, x= 23.0368, v= 13.228
t= 1.3, x= 24.3105, v= 12.247
t= 1.4, x= 25.4862, v= 11.266
t= 1.5, x= 26.5637, v= 10.285
t= 1.6, x= 27.5432, v= 9.30399
t= 1.7, x= 28.4245, v= 8.32299
t= 1.8, x= 29.2078, v= 7.34199
t= 1.9, x= 29.8929, v= 6.36099
t= 2, x= 30.48, v= 5.37999
t= 2.1, x= 30.9689, v= 4.39899
t= 2.2, x= 31.3598, v= 3.41799
t= 2.3, x= 31.6525, v= 2.43699
t= 2.4, x= 31.8472, v= 1.45599
t= 2.5, x= 31.9437, v= 0.474993
t= 2.6, x= 31.9422, v= -0.506008
t= 2.7, x= 31.8425, v= -1.48701
t= 2.8, x= 31.6448, v= -2.46801
t= 2.9, x= 31.3489, v= -3.44901
t= 3, x= 30.955, v= -4.43001
t= 3.1, x= 30.4629, v= -5.41101
t= 3.2, x= 29.8728, v= -6.39201
t= 3.3, x= 29.1845, v= -7.37301
t= 3.4, x= 28.3982, v= -8.35401
t= 3.5, x= 27.5137, v= -9.33501
t= 3.6, x= 26.5312, v= -10.316
t= 3.7, x= 25.4505, v= -11.297
t= 3.8, x= 24.2718, v= -12.278
t= 3.9, x= 22.9949, v= -13.259
t= 4, x= 21.62, v= -14.24
t= 4.1, x= 20.1469, v= -15.221
t= 4.2, x= 18.5758, v= -16.202
t= 4.3, x= 16.9065, v= -17.183
t= 4.4, x= 15.1392, v= -18.164
t= 4.5, x= 13.2737, v= -19.145
t= 4.6, x= 11.3102, v= -20.126
t= 4.7, x= 9.24852, v= -21.107
t= 4.8, x= 7.08876, v= -22.088
t= 4.9, x= 4.83091, v= -23.069
t= 5, x= 2.47496, v= -24.05
t= 5.1, x= 0.0209089, v= -25.031
