t= 0, x= 100, v= 0
t= 0.1, x= 95.2042, v= -93.5792
t= 0.2, x= 81.8813, v= -169.425
t= 0.3, x= 62.0997, v= -222.069
t= 0.4, x= 38.3404, v= -248.75
t= 0.5, x= 13.2238, v= -249.422
t= 0.6, x= -10.751, v= -226.494
t= 0.7, x= -31.4305, v= -184.376
t= 0.8, x= -47.1769, v= -128.867
t= 0.9, x= -56.9737, v= -66.4799
t= 1, x= -60.4624, v= -3.75503
t= 1.1, x= -57.9142, v= 53.3567
t= 1.2, x= -50.1436, v= 100
t= 1.3, x= -38.3809, v= 132.771
t= 1.4, x= -24.1156, v= 149.895
t= 1.5, x= -8.93204, v= 151.246
t= 1.6, x= 5.64985, v= 138.198
t= 1.7, x= 18.3113, v= 113.351
t= 1.8, x= 28.0404, v= 80.1717
t= 1.9, x= 34.198, v= 42.5844
t= 2, x= 36.543, v= 4.55486
t= 2.1, x= 35.2167, v= -30.2864
t= 2.2, x= 30.6936, v= -58.9552
t= 2.3, x= 23.7046, v= -79.3336
t= 2.4, x= 15.1438, v= -90.2875
t= 2.5, x= 5.96846, v= -91.6798
t= 2.6, x= -2.8971, v= -84.2889
t= 2.7, x= -10.6458, v= -69.6478
t= 2.8, x= -16.6529, v= -49.8277
t= 2.9, x= -20.5171, v= -27.1916
t= 3, x= -22.0777, v= -4.14328
t= 3.1, x= -21.4066, v= 17.1033
t= 3.2, x= -18.7795, v= 34.7146
t= 3.3, x= -14.6303, v= 47.3749
t= 3.4, x= -9.49532, v= 54.3604
t= 3.5, x= -3.95294, v= 55.552
t= 3.6, x= 1.43515, v= 51.3885
t= 3.7, x= 6.17521, v= 42.7721
t= 3.8, x= 9.88163, v= 30.9395
t= 3.9, x= 12.303, v= 17.3132
t= 4, x= 13.3331, v= 3.34971
t= 4.1, x= 13.0072, v= -9.60145
t= 4.2, x= 11.4849, v= -20.4145
t= 4.3, x= 9.02371, v= -28.2725
t= 4.4, x= 5.94523, v= -32.7152
t= 4.5, x= 2.59864, v= -33.6483
t= 4.6, x= -0.674762, v= -31.3176
t= 4.7, x= -3.57307, v= -26.2535
t= 4.8, x= -5.8585, v= -19.194
t= 4.9, x= -7.37369, v= -10.995
t= 5, x= -8.04897, v= -2.53856
t= 5.1, x= -7.90051, v= 5.3529
t= 5.2, x= -7.02069, v= 11.9885
t= 5.3, x= -5.56212, v= 16.8616
t= 5.4, x= -3.71748, v= 19.68
t= 5.5, x= -1.69755, v= 20.3733
t= 5.6, x= 0.29038, v= 19.0783
t= 5.7, x= 2.06179, v= 16.1063
t= 5.8, x= 3.47012, v= 11.8972
t= 5.9, x= 4.41703, v= 6.96602
t= 6, x= 4.85707, v= 1.84665
t= 6.1, x= 4.79694, v= -2.95993
t= 6.2, x= 4.2899, v= -7.02993
t= 6.3, x= 3.42631, v= -10.0494
t= 6.4, x= 2.32158, v= -11.8333
t= 6.5, x= 1.10288, v= -12.331
t= 6.6, x= -0.103931, v= -11.6178
t= 6.7, x= -1.18613, v= -9.87615
t= 6.8, x= -2.05344, v= -7.36834
t= 6.9, x= -2.64449, v= -4.40385
t= 7, x= -2.92977, v= -1.30585
t= 7.1, x= -2.91146, v= 1.62063
t= 7.2, x= -2.62018, v= 4.11578
t= 7.3, x= -2.10937, v= 5.98518
t= 7.4, x= -1.44812, v= 7.11198
t= 7.5, x= -0.713134, v= 7.4605
t= 7.6, x= 0.0192142, v= 7.07191
t= 7.7, x= 0.680076, v= 6.05299
t= 7.79999, x= 1.21389, v= 4.55985
t= 7.89999, x= 1.58239, v= 2.77851
t= 7.99999, x= 1.76651, v= 0.904464
t= 8.09999, x= 1.76643, v= -0.876634
t= 8.2, x= 1.59968, v= -2.40557
t= 8.3, x= 1.29785, v= -3.56205
t= 8.4, x= 0.902273, v= -4.27241
t= 8.5, x= 0.459193, v= -4.51204
t= 8.6, x= 0.0149379, v= -4.30313
t= 8.7, x= -0.388461, v= -3.70805
t= 8.8, x= -0.716828, v= -2.8197
t= 8.9, x= -0.946315, v= -1.74981
t= 9, x= -1.06468, v= -0.61659
t= 9.1, x= -1.07132, v= 0.466996
t= 9.2, x= -0.976237, v= 1.40343
t= 9.3, x= -0.798087, v= 2.11835
t= 9.4, x= -0.561579, v= 2.56536
t= 9.5, x= -0.294582, v= 2.72779
t= 9.6, x= -0.0251901, v= 2.61737
t= 9.7, x= 0.220949, v= 2.27049
t= 9.8, x= 0.422824, v= 1.74237
t= 9.9, x= 0.565595, v= 1.10008
t= 10, x= 0.641415, v= 0.4151
t= 10.1, x= 0.649498, v= -0.243883
t= 10.2, x= 0.595527, v= -0.817159
t= 10.3, x= 0.490497, v= -1.25879
t= 10.4, x= 0.349177, v= -1.53963
t= 10.5, x= 0.188354, v= -1.64847
t= 10.6, x= 0.0250588, v= -1.59141
t= 10.7, x= -0.125066, v= -1.38962
t= 10.8, x= -0.249107, v= -1.0759
t= 10.9, x= -0.337842, v= -0.690505
t= 11, x= -0.386256, v= -0.276623
t= 11.1, x= -0.393618, v= 0.123985
t= 11.2, x= -0.363139, v= 0.474781
t= 11.3, x= -0.301293, v= 0.747404
t= 11.4, x= -0.216903, v= 0.923566
t= 11.5, x= -0.120074, v= 0.995822
t= 11.6, x= -0.021127, v= 0.96724
t= 11.7, x= 0.0703998, v= 0.85011
t= 11.8, x= 0.146576, v= 0.663908
